20005,90804748,0,10767622,0.11857994474033451,453.9102674331417
30007,136282114,0,15917301,0.11679669864821733,454.16774419302163
40012,181951916,0,21068523,0.11579170729919656,454.7433669899031
50013,227651950,0,26217579,0.11516518527515358,455.18555375602347
60014,273268210,0,31366704,0.11478358203466112,455.3407704868864
70018,318936068,0,36517025,0.1144963792555441,455.50582421662995
80019,364697308,0,41666551,0.11424968072426792,455.76339119459135
90022,410296585,0,46816513,0.11410407668881768,455.77368309968676
100023,455949264,0,51965926,0.1139730450359933,455.84441978344984
110028,501625927,0,57117099,0.1138639291266139,455.9075217217436
120030,547307235,0,62266465,0.11376875915042489,455.9753694909606
130033,593060252,0,67416858,0.11367623740192927,456.0844193397061
140037,638732618,0,72567510,0.11361171788474407,456.1170433528281
