20008,90324759,0,44339049,0.49088477501501,225.7216088564574
30016,135073564,0,65505253,0.4849598327027189,225.00260527718547
40025,179733480,0,86672094,0.4822256487772896,224.52652092442221
50033,224402785,0,107838414,0.4805573781091888,224.2547768472808
60034,269060231,0,128989139,0.4794061854499783,224.08987490422092
70039,313729399,0,150147729,0.4785899232860864,223.96764588300803
80047,358350225,0,171312534,0.47805895475578397,223.83738616063064
90047,402972949,0,192462497,0.4776064931346049,223.75700967272647
100058,447635280,0,213632700,0.4772472357406682,223.68790101740993
110060,491409146,0,234786769,0.47778266015423326,223.24602307832092
120061,534909312,0,255936713,0.47846748459671606,222.76564079926032
130062,578722644,0,277088288,0.4787928913318968,222.47952707170424
140065,623278357,0,298242277,0.47850574891693215,222.49611144825616
