20003,89927357,0,105448310,1.1725943418975384,224.78467729840526
30007,134602434,0,156617914,1.1635593008667287,224.2850568200753
40011,178901622,0,207785499,1.1614511745455276,223.5655469745819
50014,222416288,0,258949553,1.1642562481754932,222.35402987163593
60014,265910569,0,310100893,1.1661849100853152,221.54044806211883
70015,309523716,0,361253078,1.1671256815745905,221.0410033564236
80015,354015860,0,412401587,1.1649240432335433,221.2184340436168
90014,398545923,0,463543874,1.163087732803128,221.3799647832559
100013,443109419,0,514689967,1.1615414724461093,221.52591113155296
110013,487723294,0,565838738,1.160163447104087,221.66620944797432
120014,532309018,0,616989684,1.159081779824365,221.7695510523772
130018,576350114,0,668159338,1.1592941890178927,221.642431817133
140018,619746607,0,719310432,1.1606524729226957,221.30961983459275
